table,column,type,notnull,pk,example_value
GIT_COMMITS,PROJECT_ID,,False,False,org.apache:archiva
GIT_COMMITS,COMMIT_HASH,,False,False,94fe3a7fc056638c90cbe4a6319c3cb658f395a5
GIT_COMMITS,COMMIT_MESSAGE,,False,False,create template structure   git-svn-id: https://svn.apache.org/repos/asf/maven/repository-manager/trunk@348595 13f795...
GIT_COMMITS,AUTHOR,,False,False,Brett Porter
GIT_COMMITS,AUTHOR_DATE,,False,False,2005-11-23 23:54:12+00:00
GIT_COMMITS,AUTHOR_TIMEZONE,,False,False,0
GIT_COMMITS,COMMITTER,,False,False,Brett Porter
GIT_COMMITS,COMMITTER_DATE,,False,False,2005-11-23 23:54:12+00:00
GIT_COMMITS,COMMITTER_TIMEZONE,,False,False,0
GIT_COMMITS,BRANCHES,,False,False,{'master'}
GIT_COMMITS,IN_MAIN_BRANCH,,False,False,True
GIT_COMMITS,MERGE,,False,False,False
GIT_COMMITS,PARENTS,,False,False,[]
GIT_COMMITS_CHANGES,PROJECT_ID,,False,False,org.apache:archiva
GIT_COMMITS_CHANGES,FILE,,False,False,pom.xml
GIT_COMMITS_CHANGES,COMMIT_HASH,,False,False,2b6be811c1d4f5e81339616208530d486608e42b
GIT_COMMITS_CHANGES,DATE,,False,False,2005-11-28 03:15:35+00:00
GIT_COMMITS_CHANGES,COMMITTER_ID,,False,False,Brett Porter
GIT_COMMITS_CHANGES,LINES_ADDED,,False,False,223
GIT_COMMITS_CHANGES,LINES_REMOVED,,False,False,0
GIT_COMMITS_CHANGES,NOTE,,False,False,repository manager - root POM   git-svn-id: https://svn.apache.org/repos/asf/maven/repository-manager/trunk@349352 13...
JIRA_ISSUES,PROJECT_ID,,False,False,org.apache:archiva
JIRA_ISSUES,KEY,,False,False,MRM-2021
JIRA_ISSUES,PRIORITY,,False,False,Minor
JIRA_ISSUES,TYPE,,False,False,Bug
JIRA_ISSUES,STATUS,,False,False,Open
JIRA_ISSUES,RESOLUTION,,False,False,
JIRA_ISSUES,REPORTER,,False,False,macgayver
JIRA_ISSUES,CREATOR_NAME,,False,False,macgayver
JIRA_ISSUES,ASSIGNEE,,False,False,
JIRA_ISSUES,LABELS,,False,False,[]
JIRA_ISSUES,SUMMARY,,False,False,Rest API + searchService/artifact + No Content
JIRA_ISSUES,DESCRIPTION,,False,False,"Dear, first of all, I am using a translator, so I apologize for any mistakes made.
  
 I'm having trouble returning..."
JIRA_ISSUES,TIME_ORIGINAL_ESTIMATE,,False,False,
JIRA_ISSUES,AGGREGATE_TIME_ORGINAL_ESTIMATE,,False,False,
JIRA_ISSUES,AGGREGATE_TIME_SPENT,,False,False,
JIRA_ISSUES,TIME_SPENT,,False,False,
JIRA_ISSUES,TIME_ESTIMATE,,False,False,
JIRA_ISSUES,AGGREGATE_TIME_ESTIMATE,,False,False,
JIRA_ISSUES,CREATION_DATE,,False,False,2020-10-19 23:17:39 +0000
JIRA_ISSUES,RESOLUTION_DATE,,False,False,
JIRA_ISSUES,UPDATE_DATE,,False,False,2020-10-19 23:18:31 +0000
JIRA_ISSUES,DUE_DATE,,False,False,
JIRA_ISSUES,WATCH_COUNT,,False,False,1
JIRA_ISSUES,VOTES,,False,False,0
JIRA_ISSUES,CREATOR_ACTIVE,,False,False,True
JIRA_ISSUES,VERSIONS,,False,False,['2.2.5']
JIRA_ISSUES,FIX_VERSIONS,,False,False,[]
JIRA_ISSUES,PROGRESS_PERCENT,,False,False,
JIRA_ISSUES,HASH,,False,False,
JIRA_ISSUES,COMMIT_DATE,,False,False,
PROJECTS,PROJECT_KEY,TEXT,False,False,batik
PROJECTS,GIT_LINK,TEXT,False,False,https://github.com/apache/batik
PROJECTS,JIRA_LINK,TEXT,False,False,https://issues.apache.org/jira/projects/BATIK
PROJECTS,SONAR_PROJECT_KEY,TEXT,False,False,org.apache:batik
PROJECTS,PROJECT_ID,TEXT,False,False,org.apache:batik
REFACTORING_MINER,PROJECT_ID,,False,False,org.apache:archiva
REFACTORING_MINER,COMMIT_HASH,,False,False,292dbe1bb4323dd299d36b78f37d9c1d55c889f8
REFACTORING_MINER,REFACTORING_TYPE,,False,False,Change Attribute Type
